1,0.72005591838477,0.04019241595898
0.1,0.963699292838747,0.128177482598081
0.01,0.995884378423756,0.363506861572426
0.001,0.999754556708072,0.848136477473065
0.0001,0.999946642762624,0.960117586708689
1E-05,0.999989328552525,0.991626357622783
1E-06,0.999992885701683,0.99439417556696
1E-07,0.999996442850842,0.997185280215406
1E-08,1,1
1E-09,1,1
1E-10,1,1
1E-11,1,1
1E-12,1,1
1E-13,0.999996442850842,0.997169365362683
1E-14,0.999992885701683,0.994330692817858
1E-15,0.999982214254208,0.985765752359484
1E-16,0.999971542806733,0.97712592461293
1E-17,0.999971542806733,0.97712592461293
1E-18,0.999950199911783,0.959613498809639
1E-19,0.999921742718515,0.935755121009709
