1,0.72005591838477,0.04019241595898,177,78699,0,202248
0.1,0.963699292838747,0.128177482598081,177,10205,0,270742
0.01,0.995884378423756,0.363506861572426,177,1157,0,279790
0.001,0.999754556708072,0.848136477473065,177,69,0,280878
0.0001,0.999946642762624,0.960117586708689,177,15,0,280932
1.00E-05,0.999989328552525,0.991626357622783,177,3,0,280944
1.00E-06,0.999992885701683,0.99439417556696,177,2,0,280945
1.00E-07,0.999996442850842,0.997185280215406,177,1,0,280946
1.00E-08,1,1,177,0,0,280947
1.00E-09,1,1,177,0,0,280947
1.00E-10,1,1,177,0,0,280947
1.00E-11,1,1,177,0,0,280947
1.00E-12,1,1,177,0,0,280947
1.00E-13,0.999996442850842,0.997169365362683,176,0,1,280947
1.00E-14,0.999992885701683,0.994330692817858,175,0,2,280947
1.00E-15,0.999982214254208,0.985765752359484,172,0,5,280947
1.00E-16,0.999971542806733,0.97712592461293,169,0,8,280947
1.00E-17,0.999971542806733,0.97712592461293,169,0,8,280947   
1.00E-18,0.999950199911783,0.959613498809639,163,0,14,280947
